Department,Hire_Date,Termination_Date,Tenure,Tenure_Distribution
Accounting,2019-09-07,2025-08-10,5.9288,"MEDIUM TERM"
Accounting,2013-09-23,,NULL,"LEGACY TENURE"
Accounting,2014-04-08,,NULL,"LEGACY TENURE"
Accounting,2020-10-31,,NULL,"LEGACY TENURE"
Accounting,2001-07-09,,NULL,"LEGACY TENURE"
Accounting,2001-07-04,,NULL,"LEGACY TENURE"
Accounting,2017-10-27,,NULL,"LEGACY TENURE"
Accounting,2012-02-09,,NULL,"LEGACY TENURE"
Accounting,2014-05-25,,NULL,"LEGACY TENURE"
Accounting,2011-01-15,,NULL,"LEGACY TENURE"
Accounting,2019-08-23,,NULL,"LEGACY TENURE"
Accounting,2001-07-26,,NULL,"LEGACY TENURE"
Accounting,2018-08-26,,NULL,"LEGACY TENURE"
Accounting,2006-11-13,,NULL,"LEGACY TENURE"
Accounting,2008-07-25,,NULL,"LEGACY TENURE"
Accounting,2004-04-06,2005-01-17,0.7836,"ENTRY LEVEL"
Accounting,2005-08-25,,NULL,"LEGACY TENURE"
Accounting,2003-10-20,,NULL,"LEGACY TENURE"
Accounting,2018-07-24,,NULL,"LEGACY TENURE"
Accounting,2002-03-06,,NULL,"LEGACY TENURE"
Accounting,2000-11-22,,NULL,"LEGACY TENURE"
Accounting,2008-06-05,,NULL,"LEGACY TENURE"
Accounting,2010-08-10,,NULL,"LEGACY TENURE"
Accounting,2010-04-30,2011-05-08,1.0219,"ENTRY LEVEL"
Accounting,2008-03-07,,NULL,"LEGACY TENURE"
Accounting,2002-06-22,,NULL,"LEGACY TENURE"
Accounting,2014-05-30,,NULL,"LEGACY TENURE"
Accounting,2014-11-05,,NULL,"LEGACY TENURE"
Accounting,2004-11-28,,NULL,"LEGACY TENURE"
Accounting,2013-02-19,,NULL,"LEGACY TENURE"
Accounting,2020-10-19,2032-11-23,12.1041,"LONG TERM"
Accounting,2014-07-27,,NULL,"LEGACY TENURE"
Accounting,2017-05-08,,NULL,"LEGACY TENURE"
Accounting,2005-05-31,,NULL,"LEGACY TENURE"
Accounting,2017-02-09,,NULL,"LEGACY TENURE"
Accounting,2007-08-18,,NULL,"LEGACY TENURE"
Accounting,2017-06-20,,NULL,"LEGACY TENURE"
Accounting,2017-06-06,,NULL,"LEGACY TENURE"
Accounting,2013-12-16,,NULL,"LEGACY TENURE"
Accounting,2015-01-05,,NULL,"LEGACY TENURE"
Accounting,2019-04-22,,NULL,"LEGACY TENURE"
Accounting,2005-09-18,,NULL,"LEGACY TENURE"
Accounting,2011-04-24,,NULL,"LEGACY TENURE"
Accounting,2012-02-17,,NULL,"LEGACY TENURE"
Accounting,2015-09-02,,NULL,"LEGACY TENURE"
Accounting,2013-05-21,2033-04-20,19.9288,"LEGACY TENURE"
Accounting,2009-06-14,2023-05-02,13.8904,"LONG TERM"
Accounting,2011-01-15,,NULL,"LEGACY TENURE"
Accounting,2004-11-10,2005-02-03,0.2329,"ENTRY LEVEL"
Accounting,2020-12-01,,NULL,"LEGACY TENURE"
Accounting,2008-11-19,,NULL,"LEGACY TENURE"
Accounting,2011-12-01,,NULL,"LEGACY TENURE"
Accounting,2012-06-24,,NULL,"LEGACY TENURE"
Accounting,2011-12-28,,NULL,"LEGACY TENURE"
Accounting,2004-06-07,,NULL,"LEGACY TENURE"
Accounting,2017-10-14,,NULL,"LEGACY TENURE"
Accounting,2009-04-03,,NULL,"LEGACY TENURE"
Accounting,2016-06-18,,NULL,"LEGACY TENURE"
Accounting,2010-12-15,,NULL,"LEGACY TENURE"
Accounting,2004-04-19,,NULL,"LEGACY TENURE"
Accounting,2001-05-17,,NULL,"LEGACY TENURE"
Accounting,2011-04-29,,NULL,"LEGACY TENURE"
Accounting,2001-12-25,,NULL,"LEGACY TENURE"
Accounting,2018-05-30,,NULL,"LEGACY TENURE"
Accounting,2012-07-01,,NULL,"LEGACY TENURE"
Accounting,2010-09-18,,NULL,"LEGACY TENURE"
Accounting,2010-09-12,,NULL,"LEGACY TENURE"
Accounting,2011-07-19,,NULL,"LEGACY TENURE"
Accounting,2005-11-24,2018-06-16,12.5671,"LONG TERM"
Accounting,2005-01-07,,NULL,"LEGACY TENURE"
Accounting,2015-09-28,2016-07-29,0.8356,"ENTRY LEVEL"
Accounting,2020-10-25,2039-01-27,18.2685,"LEGACY TENURE"
Accounting,2016-01-12,,NULL,"LEGACY TENURE"
Accounting,2003-09-17,,NULL,"LEGACY TENURE"
Accounting,2003-11-04,,NULL,"LEGACY TENURE"
Accounting,2013-03-05,,NULL,"LEGACY TENURE"
Accounting,2015-12-23,,NULL,"LEGACY TENURE"
Accounting,2020-04-30,,NULL,"LEGACY TENURE"
Accounting,2008-07-22,,NULL,"LEGACY TENURE"
Accounting,2001-10-28,,NULL,"LEGACY TENURE"
Accounting,2019-11-27,,NULL,"LEGACY TENURE"
Accounting,2007-10-04,,NULL,"LEGACY TENURE"
Accounting,2020-04-12,,NULL,"LEGACY TENURE"
Accounting,2013-06-15,,NULL,"LEGACY TENURE"
Accounting,2007-06-14,2014-07-23,7.1123,"MEDIUM TERM"
Accounting,2017-02-13,2022-12-15,5.8384,"MEDIUM TERM"
Accounting,2007-09-17,2008-12-10,1.2329,"ENTRY LEVEL"
Accounting,2008-10-17,,NULL,"LEGACY TENURE"
Accounting,2005-02-04,,NULL,"LEGACY TENURE"
Accounting,2015-06-23,,NULL,"LEGACY TENURE"
Accounting,2014-10-08,,NULL,"LEGACY TENURE"
Accounting,2013-11-30,,NULL,"LEGACY TENURE"
Accounting,2012-01-18,,NULL,"LEGACY TENURE"
Accounting,2017-04-24,,NULL,"LEGACY TENURE"
Accounting,2017-01-14,,NULL,"LEGACY TENURE"
Accounting,2008-12-14,,NULL,"LEGACY TENURE"
Accounting,2003-06-16,,NULL,"LEGACY TENURE"
Accounting,2018-02-18,,NULL,"LEGACY TENURE"
Accounting,2011-10-18,,NULL,"LEGACY TENURE"
Accounting,2009-04-20,,NULL,"LEGACY TENURE"
Accounting,2005-06-06,,NULL,"LEGACY TENURE"
Accounting,2017-05-17,2035-08-27,18.2904,"LEGACY TENURE"
Accounting,2001-04-06,,NULL,"LEGACY TENURE"
Accounting,2002-10-21,,NULL,"LEGACY TENURE"
Accounting,2003-10-23,2007-01-30,3.2740,"MEDIUM TERM"
Accounting,2001-03-03,,NULL,"LEGACY TENURE"
Accounting,2007-06-24,,NULL,"LEGACY TENURE"
Accounting,2009-03-12,2018-02-25,8.9644,"MEDIUM TERM"
Accounting,2018-12-08,,NULL,"LEGACY TENURE"
Accounting,2018-02-04,2032-04-09,14.1863,"LONG TERM"
Accounting,2016-12-16,2026-07-15,9.5836,"MEDIUM TERM"
Accounting,2001-08-09,,NULL,"LEGACY TENURE"
Accounting,2003-06-02,,NULL,"LEGACY TENURE"
Accounting,2012-11-10,2014-04-19,1.4384,"ENTRY LEVEL"
Accounting,2001-04-15,,NULL,"LEGACY TENURE"
Accounting,2017-08-13,,NULL,"LEGACY TENURE"
Accounting,2003-10-31,2022-02-16,18.3096,"LEGACY TENURE"
Accounting,2003-12-30,,NULL,"LEGACY TENURE"
Accounting,2016-02-28,2035-08-28,19.5096,"LEGACY TENURE"
Accounting,2007-01-28,,NULL,"LEGACY TENURE"
Accounting,2003-04-28,,NULL,"LEGACY TENURE"
Accounting,2009-10-11,,NULL,"LEGACY TENURE"
Accounting,2003-10-24,,NULL,"LEGACY TENURE"
Accounting,2019-08-06,,NULL,"LEGACY TENURE"
Accounting,2008-04-09,,NULL,"LEGACY TENURE"
Accounting,2006-05-01,,NULL,"LEGACY TENURE"
Accounting,2017-06-04,,NULL,"LEGACY TENURE"
Accounting,2012-08-22,,NULL,"LEGACY TENURE"
Accounting,2008-03-20,,NULL,"LEGACY TENURE"
Accounting,2012-05-16,,NULL,"LEGACY TENURE"
Accounting,2020-04-06,,NULL,"LEGACY TENURE"
Accounting,2003-04-16,2009-09-05,6.3945,"MEDIUM TERM"
Accounting,2015-12-11,2036-10-28,20.8959,"LEGACY TENURE"
Accounting,2006-03-28,2020-05-13,14.1370,"LONG TERM"
Accounting,2014-11-14,,NULL,"LEGACY TENURE"
Accounting,2010-01-18,,NULL,"LEGACY TENURE"
Accounting,2013-05-31,,NULL,"LEGACY TENURE"
Accounting,2002-03-12,,NULL,"LEGACY TENURE"
Accounting,2008-08-10,,NULL,"LEGACY TENURE"
Accounting,2010-03-11,,NULL,"LEGACY TENURE"
Accounting,2005-01-21,,NULL,"LEGACY TENURE"
Accounting,2007-01-19,,NULL,"LEGACY TENURE"
Accounting,2007-03-15,,NULL,"LEGACY TENURE"
Accounting,2011-09-23,,NULL,"LEGACY TENURE"
Accounting,2010-12-28,,NULL,"LEGACY TENURE"
Accounting,2020-09-11,,NULL,"LEGACY TENURE"
Accounting,2009-12-06,,NULL,"LEGACY TENURE"
Accounting,2001-07-03,,NULL,"LEGACY TENURE"
Accounting,2018-01-21,,NULL,"LEGACY TENURE"
Accounting,2004-04-24,2016-01-20,11.7479,"LONG TERM"
Accounting,2009-11-26,,NULL,"LEGACY TENURE"
Accounting,2007-11-12,,NULL,"LEGACY TENURE"
Accounting,2016-12-02,,NULL,"LEGACY TENURE"
Accounting,2010-07-26,,NULL,"LEGACY TENURE"
Accounting,2005-06-14,,NULL,"LEGACY TENURE"
Accounting,2008-01-25,,NULL,"LEGACY TENURE"
Accounting,2006-01-19,2019-01-04,12.9671,"LONG TERM"
Accounting,2020-09-19,,NULL,"LEGACY TENURE"
Accounting,2008-05-09,,NULL,"LEGACY TENURE"
Accounting,2015-05-07,,NULL,"LEGACY TENURE"
Accounting,2006-05-17,,NULL,"LEGACY TENURE"
Accounting,2001-05-14,2013-03-07,11.8219,"LONG TERM"
Accounting,2010-04-19,,NULL,"LEGACY TENURE"
Accounting,2013-07-19,,NULL,"LEGACY TENURE"
Accounting,2014-06-12,,NULL,"LEGACY TENURE"
Accounting,2019-10-18,2038-03-28,18.4548,"LEGACY TENURE"
Accounting,2003-08-23,,NULL,"LEGACY TENURE"
Accounting,2004-12-05,,NULL,"LEGACY TENURE"
Accounting,2010-04-25,,NULL,"LEGACY TENURE"
Accounting,2012-10-11,,NULL,"LEGACY TENURE"
Accounting,2005-05-29,,NULL,"LEGACY TENURE"
Accounting,2011-06-18,2015-07-13,4.0712,"MEDIUM TERM"
Accounting,2018-05-26,,NULL,"LEGACY TENURE"
Accounting,2017-09-17,,NULL,"LEGACY TENURE"
Accounting,2016-04-06,,NULL,"LEGACY TENURE"
Accounting,2001-11-11,,NULL,"LEGACY TENURE"
Accounting,2015-11-29,,NULL,"LEGACY TENURE"
Accounting,2006-05-03,,NULL,"LEGACY TENURE"
Accounting,2016-12-30,2032-08-07,15.6137,"LEGACY TENURE"
Accounting,2017-11-22,2034-07-06,16.6301,"LEGACY TENURE"
Accounting,2004-04-13,,NULL,"LEGACY TENURE"
Accounting,2004-03-02,,NULL,"LEGACY TENURE"
Accounting,2011-08-23,2013-06-30,1.8548,"ENTRY LEVEL"
Accounting,2020-10-03,,NULL,"LEGACY TENURE"
Accounting,2019-03-24,,NULL,"LEGACY TENURE"
Accounting,2001-06-13,,NULL,"LEGACY TENURE"
Accounting,2019-10-12,,NULL,"LEGACY TENURE"
Accounting,2009-09-11,,NULL,"LEGACY TENURE"
Accounting,2014-09-28,,NULL,"LEGACY TENURE"
Accounting,2005-06-11,,NULL,"LEGACY TENURE"
Accounting,2018-07-06,,NULL,"LEGACY TENURE"
Accounting,2002-02-22,,NULL,"LEGACY TENURE"
Accounting,2011-10-13,,NULL,"LEGACY TENURE"
Accounting,2006-01-12,,NULL,"LEGACY TENURE"
Accounting,2012-05-19,,NULL,"LEGACY TENURE"
Accounting,2011-11-21,,NULL,"LEGACY TENURE"
Accounting,2018-07-06,,NULL,"LEGACY TENURE"
Accounting,2008-10-14,2028-07-21,19.7808,"LEGACY TENURE"
Accounting,2013-07-20,,NULL,"LEGACY TENURE"
Accounting,2011-09-30,,NULL,"LEGACY TENURE"
Accounting,2011-03-23,2017-07-17,6.3233,"MEDIUM TERM"
Accounting,2016-02-10,,NULL,"LEGACY TENURE"
Accounting,2004-07-17,,NULL,"LEGACY TENURE"
Accounting,2002-02-21,,NULL,"LEGACY TENURE"
Accounting,2018-12-23,,NULL,"LEGACY TENURE"
Accounting,2014-05-28,,NULL,"LEGACY TENURE"
Accounting,2012-01-15,,NULL,"LEGACY TENURE"
Accounting,2005-09-28,,NULL,"LEGACY TENURE"
Accounting,2005-09-10,,NULL,"LEGACY TENURE"
Accounting,2008-10-30,,NULL,"LEGACY TENURE"
Accounting,2002-12-01,2013-03-11,10.2822,"MEDIUM TERM"
Accounting,2012-04-26,,NULL,"LEGACY TENURE"
Accounting,2012-01-10,,NULL,"LEGACY TENURE"
Accounting,2020-07-06,,NULL,"LEGACY TENURE"
Accounting,2013-06-16,,NULL,"LEGACY TENURE"
Accounting,2018-08-12,2036-02-11,17.5123,"LEGACY TENURE"
Accounting,2002-07-28,,NULL,"LEGACY TENURE"
Accounting,2008-08-27,,NULL,"LEGACY TENURE"
Accounting,2002-05-28,,NULL,"LEGACY TENURE"
Accounting,2002-01-27,,NULL,"LEGACY TENURE"
Accounting,2006-07-25,,NULL,"LEGACY TENURE"
Accounting,2006-02-01,,NULL,"LEGACY TENURE"
Accounting,2012-09-02,,NULL,"LEGACY TENURE"
Accounting,2016-01-06,,NULL,"LEGACY TENURE"
Accounting,2007-02-16,,NULL,"LEGACY TENURE"
Accounting,2004-09-21,,NULL,"LEGACY TENURE"
Accounting,2005-08-06,,NULL,"LEGACY TENURE"
Accounting,2019-03-30,,NULL,"LEGACY TENURE"
Accounting,2006-11-26,,NULL,"LEGACY TENURE"
Accounting,2011-08-05,,NULL,"LEGACY TENURE"
Accounting,2010-05-24,,NULL,"LEGACY TENURE"
Accounting,2014-01-23,,NULL,"LEGACY TENURE"
Accounting,2006-10-07,,NULL,"LEGACY TENURE"
Accounting,2003-08-16,,NULL,"LEGACY TENURE"
Accounting,2009-07-27,,NULL,"LEGACY TENURE"
Accounting,2016-05-16,2019-12-10,3.5699,"MEDIUM TERM"
Accounting,2020-09-10,,NULL,"LEGACY TENURE"
Accounting,2018-05-16,,NULL,"LEGACY TENURE"
Accounting,2013-09-06,,NULL,"LEGACY TENURE"
Accounting,2003-01-23,,NULL,"LEGACY TENURE"
Accounting,2014-11-12,,NULL,"LEGACY TENURE"
Accounting,2006-08-08,,NULL,"LEGACY TENURE"
Accounting,2015-07-01,,NULL,"LEGACY TENURE"
Accounting,2019-05-01,,NULL,"LEGACY TENURE"
Accounting,2020-04-06,,NULL,"LEGACY TENURE"
Accounting,2020-08-28,,NULL,"LEGACY TENURE"
Accounting,2011-06-08,,NULL,"LEGACY TENURE"
Accounting,2013-09-08,,NULL,"LEGACY TENURE"
